iter	Logloss
0	0.6284577729
1	0.58136502
2	0.5460047975
3	0.522444725
4	0.5006018898
5	0.4858010542
6	0.4741825232
7	0.4645219268
8	0.455265309
9	0.4488968111
10	0.441576922
11	0.4370659204
12	0.4302258802
13	0.4263441241
14	0.4217227526
15	0.4184069185
16	0.416092947
17	0.4139752638
18	0.4119176708
19	0.4101296665
20	0.4085552826
21	0.4075963995
22	0.4056614747
23	0.402254287
24	0.3983661105
25	0.3964695899
26	0.3957384527
27	0.3947943557
28	0.3931973792
29	0.3924400839
30	0.3917312273
31	0.3904134662
32	0.3889545051
33	0.3882630044
34	0.3868008562
35	0.384895028
36	0.3840365746
37	0.3829409817
38	0.3821970351
39	0.3815085593
40	0.3812628379
41	0.3808177468
42	0.3797256296
43	0.3788236216
44	0.3784028204
45	0.3779294653
46	0.3769760889
47	0.3759554122
48	0.3753168365
49	0.3746934444
50	0.3741870117
51	0.3734427396
52	0.3731973058
53	0.3729063074
54	0.3722656669
55	0.3715385274
56	0.3711010435
57	0.3704377516
58	0.3699817945
59	0.3696255474
60	0.3692436829
61	0.3686969988
62	0.3680407924
63	0.3670946415
64	0.3666337421
65	0.365882445
66	0.3654380945
67	0.3652520934
68	0.364521627
69	0.3641683579
70	0.3638566223
71	0.3634039508
72	0.3630410679
73	0.3624203058
74	0.3621736056
75	0.3617353631
76	0.3611191014
77	0.3604461581
78	0.360072698
79	0.3597725275
80	0.3594925167
81	0.3587146301
82	0.3585397135
83	0.3582551726
84	0.357878188
85	0.3577322445
86	0.3575325888
87	0.3568334548
88	0.3566714936
89	0.3562317604
90	0.3560468754
91	0.3558326806
92	0.3550436215
93	0.3545196342
94	0.3543314904
95	0.3541618221
96	0.353891657
97	0.3537645144
98	0.3533980626
99	0.3527831965
100	0.3526007417
101	0.3524278545
102	0.3519815481
103	0.351472525
104	0.3510927258
105	0.3508327681
106	0.350435908
107	0.3500063445
108	0.3497131055
109	0.349312629
110	0.3487008032
111	0.3483170008
112	0.3480826817
113	0.3477721123
114	0.3474829093
115	0.3470790779
116	0.3465006186
117	0.3462667604
118	0.3458870212
119	0.3456563188
120	0.3454528302
121	0.3452365074
122	0.3449094231
123	0.3446422559
124	0.344441098
125	0.3443312583
126	0.3438348179
127	0.3435693671
128	0.3432737294
129	0.3430813223
130	0.342915913
131	0.3427327246
132	0.3424401592
133	0.3423764997
134	0.3421903627
135	0.3420487979
136	0.3413744763
137	0.3412140288
138	0.3410434719
139	0.3409076866
140	0.3407048074
141	0.340051343
142	0.339580999
143	0.3394626931
144	0.3392985649
145	0.3392098943
146	0.3390293454
147	0.338902057
148	0.3386201791
149	0.3384989072
150	0.3383656304
151	0.3382120009
152	0.3380244021
153	0.3378544045
154	0.3377401459
155	0.3373533489
156	0.3370880403
157	0.3368819185
158	0.3368127299
159	0.336455624
160	0.3362492472
161	0.3361647701
162	0.3358914294
163	0.3356163485
164	0.3354185194
165	0.335230123
166	0.3351571757
167	0.3351550427
168	0.334959496
169	0.3347873461
170	0.3344670517
171	0.3343585901
172	0.3342886018
173	0.3339906744
174	0.3339286675
175	0.3336980939
176	0.3335383923
177	0.3334946683
178	0.3334070697
179	0.3331547392
180	0.3328308619
181	0.3324456504
182	0.3323175317
183	0.3321301815
184	0.3319868092
185	0.3318915182
186	0.33175124
187	0.3316570101
188	0.3315991401
189	0.3314265839
190	0.3313256504
191	0.3311349921
192	0.3310389551
193	0.3308914745
194	0.3307740553
195	0.3307032648
196	0.3306511732
197	0.3305617237
198	0.3305076773
199	0.3301827515
200	0.3300213051
201	0.3299538525
202	0.3298091803
203	0.329759406
204	0.329648403
205	0.3295292928
206	0.3293492928
207	0.3293166747
208	0.3292093114
209	0.3290917139
210	0.3290629756
211	0.3288024216
212	0.3286526385
213	0.3285473039
214	0.3283960887
215	0.3282098269
216	0.327989264
217	0.327892655
218	0.3277796857
219	0.327720921
220	0.3275665157
221	0.3274707963
222	0.3273288749
223	0.3272737606
224	0.3271703739
225	0.3271141686
226	0.3270448212
227	0.3269240651
228	0.3268733147
229	0.3267772291
230	0.3266452346
231	0.3265679408
232	0.3265063854
233	0.3264785486
234	0.3263874872
235	0.3263368789
236	0.3262496446
237	0.3261514683
238	0.3260958098
239	0.3259162593
240	0.3257667791
241	0.3256879786
242	0.3255179083
243	0.3254342863
244	0.3253827828
245	0.3253307345
246	0.32526911
247	0.3251724437
248	0.3249391718
249	0.324739248
250	0.3246922366
251	0.3245810049
252	0.3245057345
253	0.324458226
254	0.3243552887
255	0.3242207691
256	0.3241772684
257	0.324103374
258	0.3239988504
259	0.3239439415
260	0.3238044497
261	0.3236868866
262	0.3236541667
263	0.3235992377
264	0.3235338776
265	0.3232581248
266	0.3231278065
267	0.3231261609
268	0.3229593323
269	0.3227234757
270	0.3224844961
271	0.3223508579
272	0.3222551971
273	0.3220989442
274	0.322007797
275	0.3218834615
276	0.3216800997
277	0.3216513695
278	0.3216239972
279	0.3214701385
280	0.3213432718
281	0.3212474181
282	0.3211021154
283	0.3210083474
284	0.3209514425
285	0.3209003208
286	0.3208428863
287	0.3207690628
288	0.3206115163
289	0.3205547233
290	0.32049739
291	0.3203696993
292	0.3201008476
293	0.3200017456
294	0.3199660879
295	0.3198632054
296	0.3197897561
297	0.3196467082
298	0.3195971047
299	0.3195178103
300	0.3194263076
301	0.3192362424
302	0.3190529805
303	0.3190463906
304	0.3189131956
305	0.3187868072
306	0.3187429405
307	0.3186366575
308	0.3184907596
309	0.3184391186
310	0.3184008416
311	0.3183416312
312	0.3182730764
313	0.31821284
314	0.3180679677
315	0.3180182035
316	0.3179322534
317	0.3178600227
318	0.3177894499
319	0.3177875749
320	0.3176708593
321	0.3175157602
322	0.3174273607
323	0.3173481485
324	0.3172867576
325	0.3170901334
326	0.3170300259
327	0.3169702163
328	0.3168851359
329	0.3166838117
330	0.3165108826
331	0.3164517117
332	0.3159981306
333	0.3158875583
334	0.3157530792
335	0.3157047085
336	0.3156232455
337	0.3155033694
338	0.3154213164
339	0.3153024167
340	0.315256604
341	0.3152026934
342	0.3151106366
343	0.3150554729
344	0.3150130828
345	0.3148270731
346	0.3147793458
347	0.3147275123
348	0.3146717066
349	0.3145526944
350	0.3145096394
351	0.3143987331
352	0.3142906353
353	0.3142493112
354	0.3141275119
355	0.3140395026
356	0.3139829624
357	0.3138767081
358	0.3138199566
359	0.3137869059
360	0.313730967
361	0.313668729
362	0.3135996388
363	0.3134561018
364	0.313275483
365	0.3132253566
366	0.3130957195
367	0.3129966404
368	0.3129316288
369	0.3127883861
370	0.3127068207
371	0.3124545872
372	0.3124090266
373	0.3123713593
374	0.3122750303
375	0.3121895551
376	0.3121536433
377	0.3121377675
378	0.3120701068
379	0.3119646185
380	0.3119327068
381	0.3118400678
382	0.3118018428
383	0.3117644058
384	0.3116852998
385	0.3116239061
386	0.3115103072
387	0.3114403818
388	0.3112852515
389	0.3112183249
390	0.3111578695
391	0.311064769
392	0.311021058
393	0.3109661425
394	0.3108907769
395	0.3107744647
396	0.3106761034
397	0.3106036661
398	0.3105132438
399	0.3102277395
400	0.3101205648
401	0.3100000852
402	0.309930466
403	0.309874221
404	0.3097919083
405	0.3097644503
406	0.3096612841
407	0.3095677098
408	0.3095131666
409	0.3092512387
410	0.3091675734
411	0.3091420782
412	0.3090546252
413	0.3090545949
414	0.3089629053
415	0.3088780925
416	0.3087700713
417	0.3087238252
418	0.3086569552
419	0.3085076812
420	0.3084356795
421	0.3083692476
422	0.308180562
423	0.3081497986
424	0.3080470533
425	0.308012258
426	0.3079095562
427	0.3078581729
428	0.3078198151
429	0.3077177706
430	0.3076643672
431	0.307630931
432	0.3075587032
433	0.3074837438
434	0.3074578313
435	0.3073997023
436	0.3073456593
437	0.307271567
438	0.3072629028
439	0.3072258059
440	0.3071707937
441	0.3070666844
442	0.306943939
443	0.3068559099
444	0.3067998244
445	0.306753455
446	0.3066906016
447	0.3066273567
448	0.3065467019
449	0.3065154151
450	0.3064559962
451	0.306365929
452	0.3063399302
453	0.30630754
454	0.3062637062
455	0.3061737732
456	0.3061138946
457	0.3060216051
458	0.3059025806
459	0.3058734807
460	0.3056086747
461	0.3055812898
462	0.3055468542
463	0.3054963374
464	0.3053741174
465	0.3053167413
466	0.3052697207
467	0.3052079793
468	0.3051702774
469	0.3051421025
470	0.3051234584
471	0.3050946723
472	0.3050375034
473	0.3050020673
474	0.3049868665
475	0.3049279691
476	0.304807108
477	0.304733809
478	0.3046503981
479	0.3045689298
480	0.3043817793
481	0.3043474261
482	0.3043213466
483	0.3042968474
484	0.3042809011
485	0.3040163964
486	0.3038207379
487	0.3037432756
488	0.3036468076
489	0.3036405123
490	0.303597418
491	0.3035054094
492	0.3034970417
493	0.3033780248
494	0.3032979963
495	0.3032690657
496	0.3032456237
497	0.3031415162
498	0.3030646254
499	0.3030399169
