iter	Passed	Remaining
0	248	124219
1	320	79744
2	377	62561
3	434	53937
4	502	49768
5	617	50815
6	696	49033
7	758	46650
8	827	45165
9	875	42896
10	947	42126
11	1039	42284
12	1103	41343
13	1168	40571
14	1236	39975
15	1305	39489
16	1388	39460
17	1442	38633
18	1506	38146
19	1559	37439
20	1669	38075
21	1759	38219
22	1813	37617
23	1878	37264
24	1946	36984
25	2042	37244
26	2096	36722
27	2157	36376
28	2217	36021
29	2273	35623
30	2341	35419
31	2397	35056
32	2461	34837
33	2517	34498
34	2584	34334
35	2641	34052
36	2731	34176
37	2799	34040
38	2879	34034
39	2945	33867
40	3001	33607
41	3064	33418
42	3128	33245
43	3185	33008
44	3248	32849
45	3306	32632
46	3359	32382
47	3427	32273
48	3483	32064
49	3539	31851
50	3598	31681
51	3671	31631
52	3729	31453
53	3801	31396
54	3864	31271
55	3929	31158
56	3984	30965
57	4049	30862
58	4105	30686
59	4150	30433
60	4238	30505
61	4296	30351
62	4359	30238
63	4421	30119
64	4489	30044
65	4548	29909
66	4597	29712
67	4657	29591
68	4728	29536
69	4795	29461
70	4861	29375
71	4915	29218
72	5002	29262
73	5075	29221
74	5155	29216
75	5216	29103
76	5306	29149
77	5375	29084
78	5470	29152
79	5537	29073
80	5595	28942
81	5647	28787
82	5697	28622
83	5751	28485
84	5809	28366
85	5906	28433
86	5971	28347
87	6041	28287
88	6150	28405
89	6210	28293
90	6269	28177
91	6321	28036
92	6379	27918
93	6444	27836
94	6493	27683
95	6552	27573
96	6616	27488
97	6664	27337
98	6754	27358
99	6822	27288
100	6879	27177
101	6981	27242
102	7047	27164
103	7112	27081
104	7178	27005
105	7243	26924
106	7308	26843
107	7379	26785
108	7486	26854
109	7600	26945
110	7690	26949
111	7746	26837
112	7805	26732
113	7865	26633
114	7923	26526
115	8016	26539
116	8087	26473
117	8144	26367
118	8210	26288
119	8272	26197
120	8335	26110
121	8394	26008
122	8466	25950
123	8571	25991
124	8644	25933
125	8709	25852
126	8769	25754
127	8860	25749
128	8926	25672
129	9026	25691
130	9091	25608
131	9146	25500
132	9202	25393
133	9259	25292
134	9324	25209
135	9378	25100
136	9445	25027
137	9496	24910
138	9549	24800
139	9614	24722
140	9680	24647
141	9740	24557
142	9806	24480
143	9869	24398
144	9955	24373
145	10009	24269
146	10065	24170
147	10111	24048
148	10179	23980
149	10231	23872
150	10291	23787
151	10352	23701
152	10441	23681
153	10502	23596
154	10569	23525
155	10641	23466
156	10710	23399
157	10777	23329
158	10841	23251
159	10900	23163
160	10962	23083
161	11038	23030
162	11098	22946
163	11164	22874
164	11264	22870
165	11324	22785
166	11375	22681
167	11419	22566
168	11471	22466
169	11523	22368
170	11585	22290
171	11650	22217
172	11709	22132
173	11768	22048
174	11819	21950
175	11878	21867
176	11974	21852
177	12061	21819
178	12121	21737
179	12186	21664
180	12260	21607
181	12324	21533
182	12384	21452
183	12442	21369
184	12500	21284
185	12555	21195
186	12616	21117
187	12676	21037
188	12734	20955
189	12794	20875
190	12927	20914
191	13038	20915
192	13148	20914
193	13260	20916
194	13361	20899
195	13479	20907
196	13600	20918
197	13708	20909
198	13821	20905
199	13933	20900
200	14053	20906
201	14166	20898
202	14276	20886
203	14415	20916
204	14497	20862
205	14589	20821
206	14649	20735
207	14694	20628
208	14757	20547
209	14818	20464
210	14874	20373
211	14942	20299
212	15011	20226
213	15073	20145
214	15136	20064
215	15202	19988
216	15279	19926
217	15342	19846
